Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,Hardcover,2009,8.87,1120,4.6
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Paperback,2009,12.73,12910,4.5
"Diary of a Wimpy Kid, Book 1",Jeff Kinney,Hardcover,2009,12.29,27215,4.6
The Graveyard Book,Neil Gaiman,Hardcover,2009,10.05,14201,4.7
An Echo in the Bone (Outlander),Diana Gabaldon,Hardcover,2009,25.99,34303,4.7
"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,Hardcover,2009,20.99,12898,4.8
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,Paperback,2009,10.7,10531,4.7
Pirate Latitudes: A Novel,Michael Crichton,Hardcover,2009,15.99,6632,4.2
The Official SAT Study Guide: For the New SAT (tm),The College Board,Paperback,2009,74.0,273.0,4.4
Getting Things Done: The Art of Stress-Free Productivity,David Allen,Paperback,2009,13.17,5248,4.5
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Paperback,2009,10.3,111867,4.7
The Official SAT Study Guide,The College Board,Paperback,2009,1.98,1559.0,4.4
Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,Hardcover,2009,12.83,7295,4.5
Sarah's Key,Tatiana de Rosnay,Paperback,2009,10.25,11119,4.5
From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,Mass Market Paperback,2009,7.99,3328,4.6
Wolf Hall,Hilary Mantel,Hardcover,2009,22.18,20001,4.2
The Hunger Games,Suzanne Collins,Hardcover,2009,12.79,80772,4.7
The Yankee Years,Joe Torre,Hardcover,2009,14.79,516,4.6
Push: A Novel,Sapphire,Paperback,2009,1.87,1519,4.6
The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,Hardcover,2009,16.11,1121,4.3
The Lacuna: A Novel,Barbara Kingsolver,Hardcover,2009,15.81,3777,4.4
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,Paperback,2009,2.34,792,4.5
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,Hardcover,2009,8.98,2984,4.6
The Associate,John Grisham,Hardcover,2009,9.64,7303,4.4
Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,Hardcover,2009,20.45,2264,4.7
Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,Paperback,2009,7.13,359.0,4.4
Pursuit of Honor,Vince Flynn,Hardcover,2009,11.92,8370,4.6
